x,y
541, 715
543, 947
543, 900
542, 725
543, 908
545, 732
545, 957
545, 915
546, 922
547, 740
549, 946
549, 932
549, 747
550, 754
551, 943
548, 927
551, 762
553, 770
555, 782
553, 775
557, 793
558, 946
558, 801
561, 811
564, 821
565, 947
567, 830
571, 947
573, 839
578, 947
578, 846
584, 855
585, 947
588, 860
592, 945
592, 867
595, 874
598, 945
598, 884
601, 939
601, 892
603, 900
605, 908
606, 934
606, 915
608, 923
610, 932
